x,y,Bio1WHStnd,Bio12WHStnd
-144.0833315,67.25000664,-1.435196067,-1.055030914
-53.91666009,-0.916663585,1.063268318,0.985912005
-98.41666241,31.08333808,0.557536857,-0.348503414
-67.91666082,-11.74999748,1.138750626,0.869181374
-65.91666072,-18.24999782,0.361282857,-0.425914253
-90.91666202,31.08333808,0.565085087,0.689784826
-83.91666166,11.91667042,1.116105934,4.405505108
-116.9166634,48.583339,-0.348250836,-0.316556083
-111.2499964,40.58333858,-0.469022528,-0.585650905
-125.4166638,51.08333913,-0.703017682,-0.073264874
-119.2499968,63.4166731,-1.246490298,-0.906352953
-69.74999425,9.916670313,0.987786011,-0.543873627
-60.08332708,4.083336675,1.168943549,-0.063434927
-99.74999581,64.41667316,-1.774866452,-1.004652432
-109.7499963,37.58333842,-0.084062759,-0.871948136
-72.0833277,7.583336858,1.010430703,1.746504218
-69.24999422,-19.41666455,-0.227479144,-1.123840549
-116.2499967,69.41667342,-1.782414683,-1.05011594
-122.5833303,50.5833391,-0.672824759,-0.497181375
-101.9166626,32.58333816,0.451861626,-0.708525253
-92.4166621,39.41667185,0.074450087,-0.035173827
-67.58332747,-3.749997066,1.131202395,2.105297314
-58.91666035,-35.91666541,0.346186395,-0.103983461
-58.08332697,51.9166725,-0.891723452,0.183542513
-89.74999529,79.08334059,-2.484400145,-1.07469081
-67.08332744,-32.24999855,0.519795703,-0.857203214
-53.58332674,-15.58333102,0.859466088,0.882697553
-159.9166656,56.25000606,-0.627535375,-0.42837174
-49.08332651,-17.7499978,0.934948395,0.397343878
-61.08332713,-0.249996884,1.236877626,1.216915779
-61.58332716,-30.74999847,0.58772978,-0.127329587
-117.0833301,35.08333829,0.466958087,-1.125069293
-69.4166609,10.58333701,0.98023778,-0.392738179
-101.4166626,28.58333795,0.738694395,-0.746616301
-65.74999404,-4.416663768,1.17649178,2.046317627
-82.9166616,46.91667224,-0.619987144,-0.153133201
-83.41666163,36.91667172,0.074450087,0.337135448
-60.41666043,-28.74999837,0.731146164,0.081556804
-90.24999532,39.58333853,0.044257164,-0.107669692
-93.41666215,62.25000638,-1.65409476,-0.901437979
-89.41666194,40.75000525,-0.038773374,-0.101525974
-165.2499992,62.41667305,-0.959657529,-0.56599101
-116.2499967,40.08333855,-0.167093298,-0.90881044
